Voter Report

Number in line:           Number of voters:         Time took to vote:       

1                         3                         455                      
2                         4                         704                      
3                         1                         670                      
4                         1                         807                      
5                         2                         729                      
6                         5                         447                      
7                         3                         310                      
8                         2                         310                      
9                         4                         503                      
10                        3                         726                      
11                        2                         301                      
12                        2                         474                      
13                        1                         822                      
14                        4                         428                      
15                        3                         534                      
16                        2                         564                      
17                        1                         286                      
18                        4                         105                      
19                        5                         178                      
20                        6                         290                      
21                        4                         581                      
22                        3                         148                      
23                        1                         844                      
24                        2                         642                      
25                        2                         840                      
26                        2                         840                      
27                        2                         707                      
28                        4                         514                      
29                        1                         624                      
30                        2                         855                      
31                        3                         503                      
32                        3                         297                      
33                        2                         443                      
34                        2                         100                      
35                        1                         834                      
36                        2                         819                      
37                        2                         196                      
38                        3                         642                      
39                        3                         357                      
40                        2                         696                      
41                        1                         863                      
42                        4                         404                      
43                        1                         751                      
44                        6                         79                       
45                        2                         759                      
46                        3                         442                      
47                        2                         775                      
48                        1                         208                      
49                        2                         832                      
50                        3                         657                      
51                        1                         438                      
52                        2                         892                      
53                        1                         694                      
54                        1                         379                      
55                        1                         679                      
56                        2                         382                      
57                        3                         382                      
58                        2                         873                      
59                        2                         567                      
60                        2                         165                      
61                        1                         877                      
62                        1                         786                      
63                        2                         382                      
64                        1                         171                      
65                        2                         256                      
66                        3                         759                      
67                        3                         671                      
68                        3                         330                      
69                        2                         199                      
70                        1                         62                       
71                        4                         538                      
72                        2                         533                      
73                        1                         191                      
74                        2                         220                      
75                        5                         603                      
76                        2                         811                      
77                        4                         237                      
78                        2                         260                      
79                        3                         412                      
80                        1                         843                      
81                        2                         867                      
82                        1                         700                      
83                        1                         509                      
84                        1                         384                      
85                        2                         209                      
86                        3                         193                      
87                        2                         556                      
88                        2                         385                      
89                        2                         856                      
90                        1                         610                      
91                        2                         165                      
92                        2                         501                      
93                        1                         735                      
94                        4                         64                       
95                        3                         850                      
96                        2                         845                      
97                        1                         107                      
98                        4                         686                      
99                        5                         363                      
100                       6                         775                      
101                       4                         716                      
102                       3                         540                      
103                       1                         540                      
104                       2                         346                      
105                       2                         424                      
106                       2                         87                       
107                       1                         495                      
108                       1                         502                      
109                       1                         502                      
110                       1                         485                      
111                       2                         128                      
112                       1                         400                      
113                       2                         146                      
114                       1                         116                      
115                       2                         879                      
116                       3                         801                      
117                       1                         549                      
118                       2                         468                      
119                       1                         468                      

Total Voters              Total Time                Average Time             
271                       60439                     503                      
